Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
CBOM,CBOM,,102,42.831814,1,1,1,0,0,0,0.00443,0,11,48,1,5151,0.683108
ETLN,ETLN,,110,36.605829,1,1,1,0,10.440715,0.094931,0.004431,1,21,95,0.999833,5994,1
TCSG,TCSG,,102,51.932913,1,1,1,0,0,0,0.00443,0,45,36,1,5151,0.683108
ALRS,ALRS,,110,16.032932,1,1,1,0,10.440715,0.094931,0.004431,1,21,167,0.999833,5994,1
VTBR,VTBR,,102,48.578087,1,1,1,0,0,0,0.00443,0,11,166,1,5151,0.683108
RUSB,RUSB,,0,0,0,0,0,0,0,0,0.000666,2,0,1,0,0,0
RUSE,RUSE,,0,0,0,0,0,0,0,0,0.000666,3,1,2,0,0,0
FIVE,FIVE,,110,28.376901,1,1,1,0,10.440715,0.094931,0.004431,1,21,88,0.999833,5994,1
QIWI,QIWI,,102,43.662159,1,1,1,0,0,0,0.00443,0,45,0,1,5151,0.683108
LNTA,LNTA,,0,0,0,0,0,0,0,0,0.000666,4,2,4,0,0,0
ENPG,ENPG,,102,50.80603,1,1,1,0,0,0,0.00443,0,11,89,1,5151,0.683108
AFKS,AFKS,,102,14.151818,1,1,1,0,0,0,0.00443,0,11,42,1,5151,0.683108
BSPB,BSPB,,102,32.83977,1,1,1,0,0,0,0.00443,0,11,7,1,5151,0.683108
POLY,POLY,,102,29.866131,1,1,1,0,0,0,0.00443,0,11,19,1,5151,0.683108
YNDX,YNDX,,102,40.228661,1,1,1,0,0,0,0.00443,0,45,26,1,5151,0.683108
AKRN,AKRN,,102,55.254341,1,1,1,0,0,0,0.00443,0,45,12,1,5151,0.683108
AFLT,AFLT,,102,32.859514,1,1,1,0,0,0,0.00443,0,11,134,1,5151,0.683108
GAZP,GAZP,,102,54.682061,1,1,1,0,0,0,0.00443,0,45,5,1,5151,0.683108
GMKN,GMKN,,110,4.886522,1,1,1,0,0.094931,0.094931,0.004431,1,44,3,0.999833,5994,1
PIKK,PIKK,,102,50.818778,1,1,1,0,0,0,0.00443,0,11,6,1,5151,0.683108
LSRG,LSRG,,102,55.598447,1,1,1,0,0,0,0.00443,0,45,5,1,5151,0.683108
DSKY,DSKY,,110,29.798687,1,1,1,0,10.440715,0.094931,0.004431,1,21,11,0.999833,5994,1
IRAO,IRAO,,110,36.320909,1,1,1,0,0.094931,0.094931,0.004431,1,21,55,0.999833,5994,1
MVID,MVID,,102,44.286255,1,1,1,0,0,0,0.00443,0,45,150,1,5151,0.683108
MGNT,MGNT,,110,29.40874,1,1,1,0,10.440715,0.094931,0.004431,1,21,8,0.999833,5994,1
MAGN,MAGN,,109,7.168092,2,0.990991,0.995455,0,10.34748,0.094083,0.004396,1,44,68,1,5886,0.991069
MTLR,MTLR,,110,13.368539,1,1,1,0,10.440715,0.094931,0.004431,1,21,87,0.999833,5994,1
MTLRP,MTLRP,,110,16.522969,1,1,1,0,10.440715,0.094931,0.004431,1,21,68,0.999833,5994,1
MTSS,MTSS,,110,28.620109,1,1,1,0,10.440715,0.094931,0.004431,1,21,11,0.999833,5994,1
MOEX,MOEX,,102,53.243891,1,1,1,0,0,0,0.00443,0,45,9,1,5151,0.683108
LKOH,LKOH,,102,55.447271,1,1,1,0,0,0,0.00443,0,45,7,1,5151,0.683108
ROSN,ROSN,,110,4.861182,1,1,1,0,10.440715,0.094931,0.004431,1,21,58,0.999833,5994,1
NLMK,NLMK,,110,6.035496,1,1,1,0,10.440715,0.094931,0.004431,1,44,160,0.999833,5994,1
PLZL,PLZL,,102,38.526428,1,1,1,0,0,0,0.00443,0,45,64,1,5151,0.683108
RSTI,RSTI,,110,6.648404,1,1,1,0,10.440715,0.094931,0.004431,1,21,13,0.999833,5994,1
RSTIP,RSTIP,,110,6.851787,1,1,1,0,0.094931,0.094931,0.004431,1,21,85,0.999833,5994,1
RTKM,RTKM,,110,8.238451,1,1,1,0,0.094931,0.094931,0.004431,1,44,69,0.999833,5994,1
RTKMP,RTKMP,,102,55.575643,1,1,1,0,0,0,0.00443,0,45,33,1,5151,0.683108
SFIN,SFIN,,110,37.391807,1,1,1,0,0.094931,0.094931,0.004431,1,21,15,0.999833,5994,1
SBER,SBER,,110,37.253331,1,1,1,0,10.440715,0.094931,0.004431,1,21,43,0.999833,5994,1
SBERP,SBERP,,110,24.957519,1,1,1,0,0.094931,0.094931,0.004431,1,21,71,0.999833,5994,1
CHMF,CHMF,,110,16.622307,1,1,1,0,0.094931,0.094931,0.004431,1,21,16,0.999833,5994,1
TATN,TATN,,102,39.2656,1,1,1,0,0,0,0.00443,0,11,47,1,5151,0.683108
TATNP,TATNP,,0,0,0,0,0,0,0,0,0.000666,5,3,18,0,0,0
TGKA,TGKA,,110,7.318022,1,1,1,0,0.094931,0.094931,0.004431,1,44,22,0.999833,5994,1
TRNFP,TRNFP,,102,37.727472,1,1,1,0,0,0,0.00443,0,11,17,1,5151,0.683108
TRMK,TRMK,,110,30.833945,1,1,1,0,10.440715,0.094931,0.004431,1,21,39,0.999833,5994,1
HYDR,HYDR,,110,6.87755,1,1,1,0,10.440715,0.094931,0.004431,1,44,167,0.999833,5994,1
FEES,FEES,,0,0,0,0,0,0,0,0,0.000666,6,4,21,0,0,0
PHOR,PHOR,,110,3.002103,1,1,1,0,10.440715,0.094931,0.004431,1,21,20,0.999833,5994,1
ENRU,ENRU,,102,55.281566,1,1,1,0,0,0,0.00443,0,45,19,1,5151,0.683108
UPRO,UPRO,,102,50.686912,1,1,1,0,0,0,0.00443,0,11,98,1,5151,0.683108
RNFT,RNFT,,110,25.44526,1,1,1,0,10.440715,0.094931,0.004431,1,21,154,0.999833,5994,1
MSNG,MSNG,,110,37.222118,1,1,1,0,10.440715,0.094931,0.004431,1,21,22,0.999833,5994,1
AGRO,AGRO,,110,36.289823,1,1,1,0,0.094931,0.094931,0.004431,1,21,70,0.999833,5994,1
FXWO,FXWO,,0,0,0,0,0,0,0,0,0.000666,7,5,25,0,0,0
FXRB,FXRB,,102,48.968147,1,1,1,0,0,0,0.00443,0,11,31,1,5151,0.683108
FXDE,FXDE,,102,17.648868,1,1,1,0,0,0,0.00443,0,11,14,1,5151,0.683108
FXIT,FXIT,,110,37.270921,1,1,1,0,10.440715,0.094931,0.004431,1,21,78,0.999833,5994,1
FXRU,FXRU,,102,55.303961,1,1,1,0,0,0,0.00443,0,45,26,1,5151,0.683108
FXCN,FXCN,,102,54.907586,1,1,1,0,0,0,0.00443,0,45,112,1,5151,0.683108
FXRW,FXRW,,0,0,0,0,0,0,0,0,0.000666,8,6,27,0,0,0
FXKZ,FXKZ,,0,0,0,0,0,0,0,0,0.000666,9,7,28,0,0,0
FXGD,FXGD,,0,0,0,0,0,0,0,0,0.000666,10,8,29,0,0,0
RUAL,RUAL,,102,16.055168,1,1,1,0,0,0,0.00443,0,45,51,1,5151,0.683108
NVTK,NVTK,,102,52.761712,1,1,1,0,0,0,0.00443,0,45,67,1,5151,0.683108
MRKU,MRKU,,110,37.413767,1,1,1,0,10.440715,0.094931,0.004431,1,21,32,0.999833,5994,1
AQUA,AQUA,,102,49.39398,1,1,1,0,0,0,0.00443,0,45,30,1,5151,0.683108
MSRS,MSRS,,110,22.767276,1,1,1,0,10.440715,0.094931,0.004431,1,21,79,0.999833,5994,1
APTK,APTK,,110,8.470196,1,1,1,0,0.094931,0.094931,0.004431,1,44,95,0.999833,5994,1
AMEZ,AMEZ,,110,36.351619,1,1,1,0,10.440715,0.094931,0.004431,1,21,23,0.999833,5994,1
OGKB,OGKB,,110,37.295629,1,1,1,0,0.094931,0.094931,0.004431,1,21,32,0.999833,5994,1
KMAZ,KMAZ,,102,52.78733,1,1,1,0,0,0,0.00443,0,45,12,1,5151,0.683108
VSMO,VSMO,,102,14.107327,1,1,1,0,0,0,0.00443,0,11,137,1,5151,0.683108
MSTT,MSTT,,110,37.008495,1,1,1,0,10.440715,0.094931,0.004431,1,21,24,0.999833,5994,1
MRKV,MRKV,,102,15.49476,1,1,1,0,0,0,0.00443,0,45,161,1,5151,0.683108
MRKZ,MRKZ,,0,0,0,0,0,0,0,0,0.000666,11,9,37,0,0,0
MRKS,MRKS,,110,36.935484,1,1,1,0,10.440715,0.094931,0.004431,1,21,16,0.999833,5994,1
MRKP,MRKP,,110,32.344111,1,1,1,0,10.440715,0.094931,0.004431,1,21,38,0.999833,5994,1
MRKC,MRKC,,110,36.294847,1,1,1,0,10.440715,0.094931,0.004431,1,21,35,0.999833,5994,1
OBUV,OBUV,,102,55.504201,1,1,1,0,0,0,0.00443,0,45,34,1,5151,0.683108
RASP,RASP,,110,27.458225,1,1,1,0,0.094931,0.094931,0.004431,1,21,3,0.999833,5994,1
SVAV,SVAV,,110,6.721902,1,1,1,0,10.440715,0.094931,0.004431,1,21,8,0.999833,5994,1
SELG,SELG,,102,55.27418,1,1,1,0,0,0,0.00443,0,45,36,1,5151,0.683108
SELGP,SELGP,,0,0,0,0,0,0,0,0,0.000666,12,10,41,0,0,0
SNGS,SNGS,,102,37.550972,1,1,1,0,0,0,0.00443,0,11,33,1,5151,0.683108
SNGSP,SNGSP,,102,36.141929,1,1,1,0,0,0,0.00443,0,11,31,1,5151,0.683108
TGKN,TGKN,,102,45.726559,1,1,1,0,0,0,0.00443,0,45,156,1,5151,0.683108
WTCM,WTCM,,110,8.344432,1,1,1,0,10.440715,0.094931,0.004431,1,21,129,0.999833,5994,1
WTCMP,WTCMP,,110,36.320759,1,1,1,0,10.440715,0.094931,0.004431,1,21,38,0.999833,5994,1
TNSE,TNSE,,102,46.706889,1,1,1,0,0,0,0.00443,0,45,42,1,5151,0.683108
RDRB,RDRB,,102,51.145379,1,1,1,0,0,0,0.00443,0,45,66,1,5151,0.683108
RAVN,RAVN,,0,0,0,0,0,0,0,0,0.000666,13,12,45,0,0,0
AVAN,AVAN,,110,5.099704,1,1,1,0,0.094931,0.094931,0.004431,1,21,40,0.999833,5994,1
IRGZ,IRGZ,,0,0,0,0,0,0,0,0,0.000666,14,13,46,0,0,0
KZOS,KZOS,,110,32.134055,1,1,1,0,10.440715,0.094931,0.004431,1,21,44,0.999833,5994,1
KZOSP,KZOSP,,110,18.83971,1,1,1,0,0.094931,0.094931,0.004431,1,21,43,0.999833,5994,1
LNZL,LNZL,,102,6.782248,1,1,1,0,0,0,0.00443,0,45,82,1,5151,0.683108
